Supply_station,Sale_location,Postal_code,Municipality,Region,Type,Supertype,Sale_type,Quantity,Quantity_tons,Year,Use_category,Domestic_international,Comment,Ship_category,Use_category_eng,Population_region,Population_munic
Reykjavík,Höfuðborgarsvæðið,101,"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Bensín 95 oct.,Bensín,Sala innan svæðis - flj.,2103815,1577.86125,2010,Samgöngur á landi,Innanlands,NA,NA,Land transport,200710,192157
Reykjavík,Höfuðborgarsvæðið,101,"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Bensín 95 oct.,Bensín,Sala utan svæðis - flj.,24124,18.093,2010,Samgöngur á landi,Innanlands,NA,NA,Land transport,200710,192157
Reykjavík,Höfuðborgarsvæðið,101,"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Bensín 95 oct.,Bensín,Sala ekki flutningsjöfnuð,-2193,0,2010,Samgöngur á landi,Millilanda,NA,NA,Land transport,200710,192157
Reykjavík,Höfuðborgarsvæðið,101,"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Bensín 95 oct.,Bensín,Sala innan svæðis - flj.,9330539,6997.90425,2010,Samgöngur á landi,Innanlands,NA,NA,Land transport,200710,192157
Reykjavík,Höfuðborgarsvæðið,101,"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Bensín 98 oct.,Bensín,Sala ekki flutningsjöfnuð,-476,0,2010,Samgöngur á landi,Millilanda,NA,NA,Land transport,200710,192157
Reykjavík,Höfuðborgarsvæðið,101,"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Bensín 98 oct.,Bensín,Sala innan svæðis - flj.,197918,148.4385,2010,Samgöngur á landi,Innanlands,NA,NA,Land transport,200710,192157
Reykjavík,Höfuðborgarsvæðið,101,"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Bensín 95 oct.,Bensín,Sala ekki flutningsjöfnuð,1806,1.3545,2010,Samgöngur á landi,Millilanda,NA,NA,Land transport,200710,192157
Reykjavík,Höfuðborgarsvæðið,101,"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Bensín 95 oct.,Bensín,Sala innan svæðis - flj.,34686,26.0145,2010,Samgöngur á landi,Innanlands,NA,NA,Land transport,200710,192157
Söludælur,Höfuðborgarsvæðið,101,"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Bensín 95 oct.,Bensín,Sala innan svæðis - flj.,21744885,16308.66375,2010,Samgöngur á landi,Innanlands,NA,NA,Land transport,200710,192157
Söludælur,Höfuðborgarsvæðið,101,"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Bensín 95 oct.,Bensín,Sala innan svæðis - flj.,3145894,2359.4205,2010,Samgöngur á landi,Innanlands,NA,NA,Land transport,200710,192157
Söludælur,Höfuðborgarsvæðið,101,"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Bensín 98 oct.,Bensín,Sala innan svæðis - flj.,30401,22.80075,2010,Samgöngur á landi,Innanlands,NA,NA,Land transport,200710,192157
