Municipality,Region,Fuel_type,Fuel_supertype,Quantity_ton,Year,Use,Use_eng
Fjarðabyggð,Austurland,Svartolía,Svartolía,3609.842,2010,Fiskimjölsverksmiðjur,Fishmeal plants
Langanesbyggð,Norðurland eystra,Svartolía,Svartolía,750.256,2010,Fiskimjölsverksmiðjur,Fishmeal plants
"Fljótsdalshreppur,Múlaþing",Austurland,Svartolía,Svartolía,296.8,2010,Fiskimjölsverksmiðjur,Fishmeal plants
Vestmannaeyjabær,Suðurland,Dieselolía,Gasolía,24.966495,2010,Fiskimjölsverksmiðjur,Fishmeal plants
Reykjanesbær,Suðurnes,Svartolía,Svartolía,270.491,2010,Fiskimjölsverksmiðjur,Fishmeal plants
Langanesbyggð,Norðurland eystra,Dieselolía,Gasolía,11.40243,2010,Fiskimjölsverksmiðjur,Fishmeal plants
Vestmannaeyjabær,Suðurland,Svartolía,Svartolía,2079,2010,Fiskimjölsverksmiðjur,Fishmeal plants
Vestmannaeyjabær,Suðurland,Svartolía,Svartolía,1007.703,2010,Fiskimjölsverksmiðjur,Fishmeal plants
Langanesbyggð,Norðurland eystra,Svartolía,Svartolía,1809.766,2011,Fiskimjölsverksmiðjur,Fishmeal plants
Fjarðabyggð,Austurland,"Marine díselolía MD, flotaolía",Gasolía,1776.89,2016,Fiskimjölsverksmiðjur,Fishmeal plants
Sveitarfélagið Hornafjörður,Suðurland,Svartolía,Svartolía,1686.395,2013,Fiskimjölsverksmiðjur,Fishmeal plants
Fjarðabyggð,Austurland,Svartolía,Svartolía,2358.074,2011,Fiskimjölsverksmiðjur,Fishmeal plants
Fjarðabyggð,Austurland,Svartolía,Svartolía,1615.475,2011,Fiskimjölsverksmiðjur,Fishmeal plants
Vestmannaeyjabær,Suðurland,Svartolía,Svartolía,2011,2011,Fiskimjölsverksmiðjur,Fishmeal plants
Vestmannaeyjabær,Suðurland,Svartolía,Svartolía,1365.944,2011,Fiskimjölsverksmiðjur,Fishmeal plants
Vestmannaeyjabær,Suðurland,MD olía,Gasolía,29,2011,Fiskimjölsverksmiðjur,Fishmeal plants
Fjarðabyggð,Austurland,Svartolía,Svartolía,1515.972,2012,Fiskimjölsverksmiðjur,Fishmeal plants
Langanesbyggð,Norðurland eystra,MD olía (dieselolía),Gasolía,13,2011,Fiskimjölsverksmiðjur,Fishmeal plants
Sveitarfélagið Hornafjörður,Suðurland,Svartolía,Svartolía,1500,2012,Fiskimjölsverksmiðjur,Fishmeal plants
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía,Gasolía,1262.2581699999998,2020,Úrgangur og efnamóttaka,Waste and chemical reception
Langanesbyggð,Norðurland eystra,Svartolía,Svartolía,2383.11,2012,Fiskimjölsverksmiðjur,Fishmeal plants
Vestmannaeyjabær,Suðurland,Svartolía,Svartolía,1403.285,2012,Fiskimjölsverksmiðjur,Fishmeal plants
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía,Gasolía,1233.56958,2019,Úrgangur og efnamóttaka,Waste and chemical reception
Sveitarfélagið Hornafjörður,Suðurland,Svartolía,Svartolía,1405.297,2011,Fiskimjölsverksmiðjur,Fishmeal plants
Vestmannaeyjabær,Suðurland,Svartolía,Svartolía,2265.826,2012,Fiskimjölsverksmiðjur,Fishmeal plants
"Fljótsdalshreppur,Múlaþing",Austurland,Svartolía,Svartolía,769.617,2011,Fiskimjölsverksmiðjur,Fishmeal plants
Reykjanesbær,Suðurnes,Svartolía,Svartolía,599.201,2011,Fiskimjölsverksmiðjur,Fishmeal plants
Fjarðabyggð,Austurland,Svartolía,Svartolía,2459.695,2012,Fiskimjölsverksmiðjur,Fishmeal plants
Vestmannaeyjabær,Suðurland,Svartolía,Svartolía,1570.083,2013,Fiskimjölsverksmiðjur,Fishmeal plants
